MatchID|Team1ID|Team1|score_t1|mean_goals_t1_bin_5|mean_assists_t1_bin_5|mean_shots_t1_bin_5|HAteam01|Team2ID|Team2|score_t2|mean_goals_t2_bin_5|mean_assists_t2_bin_5|mean_shots_t2_bin_5|HAteam02
367250|347|cardiff_city|0|7.273446|1.230044|5.788160|home|362|aston_villa|0|2.507854|0.633049|5.573065|away
367251|359|arsenal|0|3.389800|0.861231|7.353149|home|360|manchester_united|0|3.212198|0.912364|8.514299|away
367252|371|west_ham_united|2|3.588431|0.903704|11.206852|home|381|norwich_city|0|5.545551|0.958604|7.707112|away
367253|306|hull_city|0|3.704684|1.282486|8.632372|home|376|southampton|1|6.603453|1.305182|9.103572|away
367254|336|stoke_city|1|3.483192|0.667804|7.364531|home|318|swansea_city|1|4.456859|1.114600|8.078166|away
367255|364|liverpool|5|4.231587|0.681735|8.097211|home|359|arsenal|1|3.223133|0.861231|7.292038|away
367256|318|swansea_city|3|4.258416|1.073545|8.299058|home|347|cardiff_city|0|7.081321|1.271558|6.443288|away
367257|367|tottenham_hotspur|1|5.072254|0.927609|10.372112|home|368|everton|0|3.073809|0.615282|5.120791|away
367258|360|manchester_united|2|3.241445|1.029661|8.181415|home|370|fulham|2|2.771816|0.590893|5.920390|away
367259|366|sunderland|0|4.525037|0.485798|5.929493|home|306|hull_city|2|3.631600|1.226515|7.950019|away
367260|381|norwich_city|0|5.938872|0.889749|7.115835|home|382|manchester_city|0|3.515230|0.837033|7.061494|away
367261|363|chelsea|3|5.180210|0.838093|8.703574|home|361|newcastle_united|0|4.110012|0.759447|5.565786|away
367262|376|southampton|2|6.217523|1.250394|8.954242|home|336|stoke_city|2|3.404676|0.610105|6.732055|away
367263|362|aston_villa|0|2.552952|0.699226|5.911791|home|371|west_ham_united|2|3.582398|0.929346|11.090713|away
367264|368|everton|2|2.753372|0.730030|5.358556|home|362|aston_villa|1|2.506517|0.630598|5.293876|away
367265|382|manchester_city|0|3.454131|0.790996|6.761342|home|363|chelsea|1|4.899716|0.801738|8.425626|away
367266|383|west_bromwich_albion|1|3.400676|0.737489|7.578573|home|364|liverpool|1|4.231587|0.681735|8.097211|away
367267|336|stoke_city|2|3.484581|0.657387|6.948559|home|360|manchester_united|1|3.190741|0.951296|8.492709|away
367268|347|cardiff_city|2|7.634585|1.417694|7.495139|home|381|norwich_city|1|5.795810|1.018931|8.594780|away
367269|370|fulham|0|3.335252|0.679410|9.744634|home|376|southampton|3|7.075128|1.398410|9.753827|away
367270|361|newcastle_united|0|4.080525|0.771947|5.692389|home|366|sunderland|3|4.792226|0.490119|5.878211|away
367271|371|west_ham_united|2|3.720140|0.897935|12.252717|home|318|swansea_city|0|4.007305|1.139722|8.106930|away
367272|306|hull_city|1|3.865669|1.356907|9.344382|home|367|tottenham_hotspur|1|5.226713|0.891236|9.812453|away
367273|367|tottenham_hotspur|1|5.429153|0.954198|9.873446|home|382|manchester_city|5|3.528506|0.741813|7.631484|away
367274|363|chelsea|0|5.059697|0.755187|7.987335|home|371|west_ham_united|0|3.714409|0.919353|12.357091|away
367275|364|liverpool|4|4.482924|0.716928|8.303692|home|368|everton|0|2.853047|0.734736|5.828949|away
367276|376|southampton|2|6.555287|1.152378|7.194304|home|359|arsenal|2|3.252430|0.785040|7.503594|away
367277|360|manchester_united|2|3.231986|1.051391|8.281271|home|347|cardiff_city|0|7.250357|1.345493|6.596717|away
367278|318|swansea_city|2|4.168353|1.188109|7.906377|home|370|fulham|0|3.374357|0.749187|10.606911|away
367279|381|norwich_city|0|5.776618|0.978190|8.217002|home|361|newcastle_united|0|4.070914|0.685516|5.146429|away
367280|366|sunderland|1|4.660649|0.454518|6.323292|home|336|stoke_city|0|3.483192|0.667804|7.364531|away
367281|362|aston_villa|4|2.506517|0.630598|5.293876|home|383|west_bromwich_albion|3|3.426087|0.776888|8.262307|away
367282|364|liverpool|2|4.025527|0.709841|8.429168|home|362|aston_villa|2|2.677095|0.624698|5.973465|away
367283|382|manchester_city|4|3.333252|0.760427|7.272528|home|347|cardiff_city|2|7.132103|1.397080|7.439574|away
367284|383|west_bromwich_albion|1|3.496647|0.809667|9.011369|home|368|everton|1|2.760068|0.582659|5.059980|away
367285|359|arsenal|2|3.210193|0.791328|6.626940|home|370|fulham|0|2.897682|0.675828|8.640380|away
367286|381|norwich_city|1|5.780027|1.062492|8.400336|home|306|hull_city|0|3.494120|0.898866|8.521700|away
367287|363|chelsea|3|4.776084|0.906747|7.492494|home|360|manchester_united|1|2.706754|0.773814|5.444559|away
367288|371|west_ham_united|1|3.962568|0.896823|12.454714|home|361|newcastle_united|3|4.347651|0.780384|7.887336|away
367289|366|sunderland|2|2.142565|0.490217|6.257040|home|376|southampton|2|7.009255|1.352378|9.399065|away
367290|318|swansea_city|1|3.905853|0.828436|5.039561|home|367|tottenham_hotspur|3|5.429153|0.954198|9.873446|away
367291|362|aston_villa|1|2.407701|0.592575|4.676820|home|359|arsenal|2|3.210193|0.791328|6.626940|away
367292|306|hull_city|0|3.554933|0.944475|8.802604|home|363|chelsea|2|4.871413|0.850637|6.787614|away
367293|336|stoke_city|3|1.953261|0.811201|7.613425|home|364|liverpool|5|2.919110|0.644590|8.589324|away
367294|361|newcastle_united|0|4.311865|0.816829|7.828462|home|382|manchester_city|2|3.184542|0.797133|6.858341|away
367295|368|everton|2|2.790930|0.609296|5.221120|home|381|norwich_city|0|5.734625|0.988978|7.385274|away
367296|370|fulham|1|2.732020|0.737571|9.529223|home|366|sunderland|4|2.240958|0.522898|6.629731|away
367297|360|manchester_united|2|2.991430|0.736112|5.044553|home|318|swansea_city|0|4.085132|0.846999|4.519976|away
367298|376|southampton|1|7.009255|1.352378|9.399065|home|383|west_bromwich_albion|0|3.575344|0.711496|8.595769|away
367299|347|cardiff_city|0|7.637457|1.422817|7.386849|home|371|west_ham_united|2|3.674487|0.893420|11.346086|away
367300|366|sunderland|0|2.399336|0.544602|6.689584|home|362|aston_villa|1|2.606399|0.596717|5.181934|away
367301|359|arsenal|2|2.860911|0.782005|6.765285|home|347|cardiff_city|0|6.681700|1.399098|6.572662|away
367302|376|southampton|0|6.169481|1.281778|9.466740|home|363|chelsea|3|5.094006|0.843692|8.115855|away
367303|336|stoke_city|1|2.130786|0.725395|8.106931|home|368|everton|1|2.951977|0.625608|5.869714|away
367304|364|liverpool|2|4.184013|0.733161|8.328901|home|306|hull_city|0|3.554933|0.944475|8.802604|away
367305|318|swansea_city|2|3.937824|1.056007|7.669559|home|382|manchester_city|3|2.918229|0.599290|6.019416|away
367306|383|west_bromwich_albion|1|3.607499|0.788872|9.264552|home|361|newcastle_united|0|4.345563|0.771565|8.110755|away
367307|360|manchester_united|1|2.889399|0.731577|6.412846|home|367|tottenham_hotspur|2|4.981240|0.862427|8.743994|away
367308|370|fulham|2|2.344676|0.700921|8.902106|home|371|west_ham_united|1|3.678270|0.919297|10.316206|away
367309|361|newcastle_united|0|4.315734|0.791451|8.012033|home|359|arsenal|1|2.824088|0.844023|7.362884|away
367310|306|hull_city|6|3.488796|0.829925|8.027207|home|370|fulham|0|2.291748|0.562529|7.916398|away
367311|363|chelsea|2|5.024804|0.946061|7.913733|home|364|liverpool|1|4.253091|0.618063|6.930872|away
367312|381|norwich_city|0|6.014037|1.005846|7.970049|home|360|manchester_united|1|2.834816|0.721146|5.312102|away
367313|368|everton|2|1.118449|0.501510|5.753242|home|376|southampton|1|6.163987|1.276284|9.382262|away
367314|367|tottenham_hotspur|3|5.489781|0.884274|9.356446|home|336|stoke_city|0|2.070370|0.728709|7.320170|away
367315|347|cardiff_city|2|7.138513|1.391280|6.948731|home|366|sunderland|2|2.481336|0.503874|6.446333|away
367316|362|aston_villa|1|2.382071|0.603203|4.522987|home|318|swansea_city|1|3.934743|1.054046|7.740987|away
367317|371|west_ham_united|3|3.888850|0.904062|10.112794|home|383|west_bromwich_albion|3|3.573135|0.744395|9.056564|away
367318|371|west_ham_united|1|3.680519|0.849873|9.876578|home|359|arsenal|3|3.172661|0.849502|8.179045|away
367319|381|norwich_city|1|6.044289|0.990160|8.243999|home|370|fulham|2|2.320867|0.712212|9.922141|away
367320|382|manchester_city|2|2.964274|0.721271|6.320291|home|364|liverpool|1|4.073812|0.617896|7.387115|away
367321|306|hull_city|2|3.488796|0.829925|8.027207|home|360|manchester_united|3|2.879347|0.743783|6.432706|away
367322|347|cardiff_city|0|7.056695|1.445826|6.460420|home|376|southampton|3|6.195611|1.385685|10.013138|away
367323|361|newcastle_united|5|4.361283|0.793156|8.007535|home|336|stoke_city|1|2.120406|0.639323|8.033618|away
367324|368|everton|0|2.920764|0.522343|5.881020|home|366|sunderland|1|2.494832|0.566252|6.151536|away
367325|363|chelsea|1|5.055601|0.967197|7.886439|home|318|swansea_city|0|3.869967|1.045293|7.038606|away
367326|367|tottenham_hotspur|1|5.748512|0.877028|9.564564|home|383|west_bromwich_albion|1|3.470716|0.718741|8.341947|away
367327|336|stoke_city|2|3.289919|0.672851|7.364460|home|362|aston_villa|1|2.270556|0.536536|3.992684|away
367328|364|liverpool|3|3.826613|0.573006|6.922887|home|347|cardiff_city|1|7.099552|1.452969|7.081848|away
367329|359|arsenal|0|3.205270|0.909285|8.508755|home|363|chelsea|0|5.055601|0.967197|7.886439|away
367330|318|swansea_city|1|3.908886|0.992637|7.279449|home|368|everton|2|2.757720|0.494968|5.298089|away
367331|383|west_bromwich_albion|1|3.564949|0.765461|8.832370|home|306|hull_city|1|3.488796|0.829925|8.027207|away
367332|370|fulham|2|2.626743|0.690149|7.671527|home|382|manchester_city|4|3.346140|0.750621|6.899533|away
367333|366|sunderland|0|2.120863|0.502370|6.027873|home|381|norwich_city|0|6.025241|0.983437|8.014867|away
367334|376|southampton|2|2.444137|0.949241|10.071028|home|367|tottenham_hotspur|3|5.556654|0.894308|10.651974|away
367335|360|manchester_united|3|2.803320|0.804950|6.565499|home|371|west_ham_united|1|3.497186|0.804039|9.051578|away
367336|382|manchester_city|6|3.418669|0.831260|7.926992|home|359|arsenal|3|3.099142|0.828772|8.178095|away
367337|368|everton|4|3.023387|0.501510|5.465125|home|370|fulham|1|2.686315|0.642527|6.907553|away
367338|367|tottenham_hotspur|0|4.846777|0.835290|9.543750|home|364|liverpool|5|3.826613|0.573006|6.922887|away
367339|362|aston_villa|0|2.403780|0.588899|4.922653|home|360|manchester_united|3|2.740620|0.764434|5.605512|away
367340|361|newcastle_united|1|4.234430|0.733280|6.887980|home|376|southampton|1|2.411730|0.801093|9.802510|away
367341|306|hull_city|0|3.425636|0.808891|7.157484|home|336|stoke_city|0|3.224970|0.696871|6.948062|away
367342|371|west_ham_united|0|3.497186|0.804039|9.051578|home|366|sunderland|0|2.231143|0.500306|6.091953|away
367343|381|norwich_city|1|4.494693|0.905558|7.401438|home|318|swansea_city|1|4.780000|1.137577|9.840887|away
367344|347|cardiff_city|1|7.170980|1.476778|7.331848|home|383|west_bromwich_albion|0|3.900272|0.817748|8.919895|away
367345|370|fulham|2|2.643354|0.665617|6.355546|home|362|aston_villa|0|2.313592|0.575019|5.049694|away
367346|336|stoke_city|3|3.357820|0.744163|7.834408|home|363|chelsea|2|5.048194|0.850530|8.857735|away
367347|359|arsenal|1|3.098366|0.848910|8.049149|home|368|everton|1|3.041345|0.519187|5.723823|away
367348|318|swansea_city|1|3.899234|1.085778|10.223212|home|306|hull_city|1|3.425636|0.808891|7.157484|away
367349|376|southampton|1|2.585523|0.828465|9.983420|home|382|manchester_city|1|3.356592|0.714111|7.305132|away
367350|360|manchester_united|0|3.106103|0.795188|7.330478|home|361|newcastle_united|1|4.354086|0.819292|8.274959|away
367351|383|west_bromwich_albion|0|3.930953|0.813097|8.247503|home|381|norwich_city|2|4.494693|0.905558|7.401438|away
367352|366|sunderland|1|2.217810|0.535861|6.385287|home|367|tottenham_hotspur|2|4.846777|0.835290|9.543750|away
367353|364|liverpool|4|3.932989|0.702321|7.711513|home|371|west_ham_united|1|3.515169|0.879164|10.426037|away
367354|370|fulham|1|2.589159|0.709029|7.244789|home|367|tottenham_hotspur|2|4.932454|0.842582|9.489323|away
367355|383|west_bromwich_albion|2|3.778964|0.799878|8.224150|home|382|manchester_city|3|3.392735|0.705937|7.766307|away
367356|364|liverpool|5|3.965548|0.684490|8.062383|home|381|norwich_city|1|4.494693|0.905558|7.401438|away
367357|376|southampton|2|2.295443|0.816394|9.239817|home|362|aston_villa|3|2.407701|0.592575|4.676820|away
367358|336|stoke_city|0|3.357820|0.743067|7.692778|home|347|cardiff_city|0|7.105546|1.377544|6.934995|away
367359|366|sunderland|3|2.120863|0.502370|6.027873|home|363|chelsea|4|4.982682|0.922372|9.241626|away
367360|360|manchester_united|0|3.026571|0.892720|7.652392|home|368|everton|1|3.041345|0.519187|5.723823|away
367361|359|arsenal|2|3.098366|0.848910|8.049149|home|306|hull_city|0|3.656978|0.865254|8.251828|away
367362|318|swansea_city|3|4.283002|1.078435|7.660893|home|361|newcastle_united|0|3.934160|0.747757|6.404443|away
367363|347|cardiff_city|0|7.247904|1.559196|8.243936|home|359|arsenal|3|2.973366|0.785293|7.567750|away
367364|371|west_ham_united|3|3.530855|0.908576|10.639763|home|370|fulham|0|2.707068|0.588208|7.000399|away
367365|306|hull_city|3|3.431939|0.804689|7.104963|home|364|liverpool|1|3.965548|0.684490|8.062383|away
367366|367|tottenham_hotspur|2|4.775004|0.775920|8.915002|home|360|manchester_united|2|2.836704|0.794781|7.362434|away
367367|363|chelsea|3|4.982682|0.922372|9.241626|home|376|southampton|1|4.204791|0.989283|9.213054|away
367368|368|everton|4|2.971386|0.494907|5.465798|home|336|stoke_city|0|3.330738|0.683307|7.905834|away
367369|362|aston_villa|0|2.407701|0.592575|4.676820|home|366|sunderland|0|2.120863|0.502370|6.027873|away
367370|382|manchester_city|3|3.375110|0.713370|7.635503|home|318|swansea_city|0|4.274113|1.060657|7.483115|away
367371|361|newcastle_united|2|4.335620|0.788042|8.017147|home|383|west_bromwich_albion|1|3.648012|0.785429|8.288761|away
367372|383|west_bromwich_albion|2|3.888955|0.839913|9.218643|home|362|aston_villa|2|2.321435|0.539725|4.869302|away
367373|371|west_ham_united|0|3.530855|0.908576|10.639763|home|363|chelsea|3|5.150633|0.928579|8.743914|away
367374|368|everton|3|3.094585|0.606729|6.045582|home|364|liverpool|3|3.873451|0.663694|7.989299|away
367375|347|cardiff_city|2|7.247904|1.559196|8.243936|home|360|manchester_united|2|2.952843|0.842524|7.363547|away
367376|361|newcastle_united|2|4.308446|0.806520|7.807364|home|381|norwich_city|1|4.626719|0.994447|8.353726|away
367377|359|arsenal|2|3.079517|0.830432|7.815022|home|376|southampton|0|4.506869|1.061108|9.703801|away
367378|336|stoke_city|2|3.352041|0.738624|8.069084|home|366|sunderland|0|2.231699|0.480306|5.890842|away
367379|370|fulham|1|2.855129|0.639973|7.633776|home|318|swansea_city|2|4.489480|0.824813|6.668450|away
367380|382|manchester_city|6|3.486750|0.663634|6.650846|home|367|tottenham_hotspur|0|4.810742|0.953714|11.298620|away
367381|360|manchester_united|1|3.198749|0.882434|8.429424|home|359|arsenal|0|3.128707|0.762097|7.274243|away
367382|362|aston_villa|2|2.348072|0.482603|3.629416|home|347|cardiff_city|0|6.831377|1.488583|7.927674|away
367383|364|liverpool|4|3.880691|0.739787|8.333794|home|370|fulham|0|2.729844|0.615530|7.543011|away
367384|376|southampton|4|7.563813|1.484612|10.043570|home|306|hull_city|1|3.561768|1.246716|7.759347|away
367385|366|sunderland|1|4.940877|0.648422|5.982630|home|382|manchester_city|0|3.313572|0.697684|7.373964|away
367386|367|tottenham_hotspur|0|6.335863|0.870052|9.984866|home|361|newcastle_united|1|4.335620|0.788042|8.017147|away
367387|318|swansea_city|3|3.961634|0.975055|7.574320|home|336|stoke_city|3|3.455562|0.775746|8.579884|away
367388|363|chelsea|2|5.150633|0.934134|8.713358|home|383|west_bromwich_albion|2|3.790397|0.814539|8.388515|away
367389|381|norwich_city|3|5.597293|1.093285|9.072310|home|371|west_ham_united|1|3.645764|0.854785|9.434556|away
367390|371|west_ham_united|0|3.640699|0.831882|9.063722|home|362|aston_villa|0|2.295068|0.488899|4.027577|away
367391|361|newcastle_united|2|4.319995|0.787000|7.975480|home|363|chelsea|0|5.055601|0.967197|7.886439|away
367392|359|arsenal|2|3.362036|0.813066|7.532476|home|364|liverpool|0|3.702442|0.633022|7.602324|away
367393|370|fulham|1|2.724942|0.653384|7.642956|home|360|manchester_united|3|3.220734|0.876625|8.719032|away
367394|382|manchester_city|7|3.397558|0.843483|7.830722|home|381|norwich_city|0|5.746065|0.946276|7.870681|away
367395|336|stoke_city|1|3.455562|0.775746|8.579884|home|376|southampton|1|7.059255|1.378568|9.326172|away
