MatchID|Team1|mu_rel_infield_suc_t1|std_rel_infield_suc_t1|med_rel_infield_suc_t1|score01|HAteam01|Team2|mu_rel_infield_suc_t2|std_rel_infield_suc_t2|med_rel_infield_suc_t2|score02|HAteam02
330812119|new_york_mets|2.666667|5.120764|0.000000|2|Away|los_angeles_dodgers|8.666667|12.445436|1.000000|4|Home
330812127|san_diego_padres|5.700000|13.594484|0.000000|2|Away|colorado_rockies|96.000000|135.764502|0.000000|14|Home
330812129|baltimore_orioles|5.833333|10.237458|0.000000|6|Away|arizona_diamondbacks|14.833333|33.168342|0.000000|7|Home
330813104|detroit_tigers|29.000000|33.366650|20.500000|3|Away|chicago_white_sox|nan|nan|nan|4|[]
330813107|miami_marlins|0.000000|0.000000|0.000000|1|Away|kansas_city_royals|32.000000|34.559128|19.500000|0|Home
330813109|cleveland_indians|18.666667|25.230053|6.500000|5|Away|minnesota_twins|22.000000|21.802141|18.000000|2|Home
330813110|los_angeles_angels|5.000000|11.180340|0.000000|7|Away|new_york_yankees|6.166667|10.776775|1.500000|14|Home
330813111|houston_astros|0.500000|0.763763|0.000000|5|Away|oakland_athletics|1.333333|2.560382|0.000000|4|Home
330813113|milwaukee_brewers|1.000000|3.000000|0.000000|5|Away|texas_rangers|141.500000|53.187561|141.000000|1|Home
330813114|boston_red_sox|nan|nan|nan|4|[]|toronto_blue_jays|nan|nan|nan|2|[]
330813115|philadelphia_phillies|0.000000|0.000000|0.000000|1|Away|atlanta_braves|9.800000|13.029198|0.500000|3|Home
330813116|cincinnati_reds|45.800000|98.001837|1.500000|6|Away|chicago_cubs|10.333333|14.406789|0.500000|4|Home
330813119|new_york_mets|16.166667|26.723377|4.000000|2|Away|los_angeles_dodgers|8.666667|12.445436|1.000000|4|Home
330813120|san_francisco_giants|51.500000|28.453178|47.000000|2|Away|washington_nationals|53.500000|58.159981|39.000000|4|Home
330813124|pittsburgh_pirates|37.000000|49.497475|2.000000|3|Away|st._louis_cardinals|34.000000|36.000000|18.500000|4|Home
330813127|san_diego_padres|8.000000|17.009801|0.000000|7|Away|colorado_rockies|50.500000|106.285386|2.000000|5|Home
330813129|baltimore_orioles|5.833333|10.237458|0.000000|3|Away|arizona_diamondbacks|14.833333|33.168342|0.000000|4|Home
330813130|seattle_mariners|7.166667|16.025154|0.000000|5|Away|tampa_bay_rays|16.000000|35.777088|0.000000|4|Home
330814104|detroit_tigers|35.500000|54.564182|0.000000|6|Away|chicago_white_sox|nan|nan|nan|4|[]
330814107|miami_marlins|1.333333|2.981424|0.000000|5|Away|kansas_city_royals|17.000000|30.648545|4.000000|2|Home
330814109|cleveland_indians|9.666667|13.670731|0.000000|9|Away|minnesota_twins|9.000000|7.958224|9.500000|8|Home
330814110|los_angeles_angels|0.166667|0.372678|0.000000|3|Away|new_york_yankees|27.000000|56.824291|2.000000|11|Home
330814111|houston_astros|0.500000|0.763763|0.000000|2|Away|oakland_athletics|1.833333|2.477678|1.000000|1|Home
330814113|milwaukee_brewers|1.666667|3.726780|0.000000|4|Away|texas_rangers|95.166667|94.677376|81.500000|5|Home
330814114|boston_red_sox|nan|nan|nan|3|[]|toronto_blue_jays|nan|nan|nan|4|[]
330814115|philadelphia_phillies|0.000000|0.000000|0.000000|3|Away|atlanta_braves|9.000000|12.935739|0.500000|6|Home
330814116|cincinnati_reds|76.333333|116.946807|30.500000|5|Away|chicago_cubs|0.000000|0.000000|0.000000|0|Home
330814119|new_york_mets|5.166667|6.643710|1.000000|4|Away|los_angeles_dodgers|8.166667|7.492589|5.500000|5|Home
330814120|san_francisco_giants|23.500000|16.439282|21.500000|5|Away|washington_nationals|53.500000|58.159981|39.000000|6|Home
330814124|pittsburgh_pirates|8.800000|6.896376|7.500000|5|Away|st._louis_cardinals|14.333333|24.417662|2.500000|1|Home
330814127|san_diego_padres|5.333333|11.055416|0.000000|2|Away|colorado_rockies|5.500000|6.677075|2.000000|4|Home
330814129|baltimore_orioles|5.833333|10.237458|0.000000|4|Away|arizona_diamondbacks|0.000000|0.000000|0.000000|5|Home
330814130|seattle_mariners|7.166667|16.025154|0.000000|4|Away|tampa_bay_rays|0.000000|0.000000|0.000000|5|Home
330815106|kansas_city_royals|32.000000|34.559128|19.500000|1|Away|detroit_tigers|35.500000|54.564182|0.000000|4|Home
330815108|cincinnati_reds|76.333333|116.946807|30.500000|2|Away|milwaukee_brewers|1.666667|3.726780|0.000000|1|Home
330815109|chicago_white_sox|nan|nan|nan|3|[]|minnesota_twins|8.000000|5.656854|12.000000|4|Home
330815110|los_angeles_angels|5.000000|11.180340|0.000000|8|Away|new_york_yankees|27.000000|56.824291|2.000000|4|Home
330815111|houston_astros|0.500000|0.763763|0.000000|0|Away|oakland_athletics|0.333333|0.745356|0.000000|5|Home
330815114|boston_red_sox|nan|nan|nan|1|[]|toronto_blue_jays|nan|nan|nan|2|[]
