MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_5|median_sr_t1_bin_5|mean_er_t1_bin_5|median_er_t1_bin_5|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_5|median_sr_t2_bin_5|mean_er_t2_bin_5|median_er_t2_bin_5|Won_By|Winning_type
598035|Delhi_Daredevils|1|8.200000|164.000000|137.574768|138.236216|8.129609|8.308511|Pune_Warriors|2|7.450000|149.000000|115.382756|108.552632|7.699029|8.026251|Delhi_Daredevils|15_runs
598034|Chennai_Super_Kings|1|10.000000|200.000000|119.748655|121.338384|7.139264|7.517730|Kolkata_Knight_Riders|2|9.300000|186.000000|124.720778|126.505916|7.483189|7.491374|Chennai_Super_Kings|14_runs
598033|Mumbai_Indians|1|9.700000|194.000000|119.075980|125.408065|7.998402|7.668977|Royal_Challengers_Bangalore|2|6.800000|136.000000|104.078478|122.992701|7.874589|7.944678|Mumbai_Indians|58_runs
598032|Rajasthan_Royals|2|8.180000|146.000000|129.847433|135.077129|8.069114|8.069114|Sunrisers_Hyderabad|1|7.200000|144.000000|99.228818|104.340278|6.923375|6.847826|Rajasthan_Royals|8_wickets_(with_13_balls_remaining)
598031|Kolkata_Knight_Riders|2|8.180000|150.000000|106.320651|117.791284|7.466551|7.400000|Kings_XI_Punjab|1|7.450000|149.000000|83.008082|113.636364|6.836919|6.565217|Kolkata_Knight_Riders|6_wickets_(with_10_balls_remaining)
598030|Chennai_Super_Kings|2|8.130000|160.000000|116.769264|118.335381|7.075043|7.404240|Sunrisers_Hyderabad|1|7.950000|159.000000|95.669690|100.000000|7.100104|6.847826|Chennai_Super_Kings|5_wickets_(with_2_balls_remaining)
598029|Kolkata_Knight_Riders|1|7.950000|159.000000|103.737028|115.467626|7.466551|7.400000|Mumbai_Indians|2|8.160000|162.000000|119.075980|125.408065|7.998402|7.668977|Mumbai_Indians|5_wickets_(with_1_ball_remaining)
598059|Delhi_Daredevils|1|6.000000|120.000000|131.412366|131.585518|7.739533|8.000000|Kings_XI_Punjab|2|7.110000|121.000000|83.008082|113.636364|8.086023|6.994147|Kings_XI_Punjab|5_wickets_(with_18_balls_remaining)
598027|Royal_Challengers_Bangalore|1|13.150000|263.000000|104.078478|122.992701|7.874589|7.944678|Pune_Warriors|2|6.650000|133.000000|118.459911|122.722918|7.693146|8.026251|Royal_Challengers_Bangalore|130_runs
598026|Chennai_Super_Kings|2|9.370000|186.000000|116.769264|118.335381|7.075043|7.404240|Rajasthan_Royals|1|9.250000|185.000000|129.847433|135.077129|8.069114|8.069114|Chennai_Super_Kings|5_wickets_(with_1_ball_remaining)
598025|Kings_XI_Punjab|2|9.370000|186.000000|83.008082|113.636364|8.086023|6.994147|Pune_Warriors|1|9.250000|185.000000|106.842264|104.276316|7.420249|7.885835|Kings_XI_Punjab|7_wickets_(with_1_ball_remaining)
