MatchID|Team1|mean_AVG_t1_bin_1|mean_OBP_t1_bin_1|mean_OPS_t1_bin_1|mean_bat_WAR_t1_bin_1|mean_ERA_t1_bin_1|mean_WHIP_t1_bin_1|mean_pitch_WAR_t1_bin_1|HAteam01|Team2|mean_AVG_t2_bin_1|mean_OBP_t2_bin_1|mean_OPS_t2_bin_1|mean_bat_WAR_t2_bin_1|mean_ERA_t2_bin_1|mean_WHIP_t2_bin_1|mean_pitch_WAR_t2_bin_1|HAteam02
320418103|oakland_athletics|0.198800|0.252200|0.561767|0.626667|4.222188|1.338125|1.221875|Away|los_angeles_angels|0.220500|0.270357|0.598714|1.757143|3.559790|1.304349|0.909244|Home
320418104|baltimore_orioles|0.199250|0.242722|0.569528|1.511111|4.117037|1.504815|0.496296|Away|chicago_white_sox|0.192278|0.284806|0.579722|0.494444|3.928636|1.401086|0.922980|Home
320418107|detroit_tigers|0.190952|0.237333|0.545810|1.490476|3.763333|1.256958|1.001111|Away|kansas_city_royals|0.186412|0.220118|0.492941|1.047059|4.329813|1.216020|0.728571|Home
320418108|los_angeles_dodgers|0.160352|0.305537|0.538352|0.925926|3.162634|1.168393|0.864732|Away|milwaukee_brewers|0.214737|0.251211|0.561368|1.259649|2.963750|1.239306|2.097222|Home
320418110|minnesota_twins|0.193611|0.236611|0.513000|0.630556|3.774659|1.320254|0.809603|Away|new_york_yankees|0.201133|0.261067|0.598067|1.333333|4.163500|1.364278|1.108333|Home
320418112|cleveland_indians|0.192436|0.245359|0.565615|0.948718|4.440726|1.371296|0.509651|Away|seattle_mariners|0.176364|0.217273|0.480455|0.581818|4.805208|1.413750|0.329167|Home
320418114|tampa_bay_rays|0.212190|0.283048|0.613762|1.847619|4.102738|1.285030|0.753274|Away|toronto_blue_jays|0.200022|0.266222|0.605600|1.102222|4.537889|1.414556|0.445556|Home
320418115|new_york_mets|0.130045|0.165000|0.365182|0.431818|4.803383|1.454227|0.498127|Away|atlanta_braves|0.215941|0.249353|0.567922|0.713725|4.554759|1.388301|0.821607|Home
320418120|houston_astros|0.139333|0.166615|0.372462|0.433333|8.303333|2.118333|-0.125000|Away|washington_nationals|0.169533|0.215467|0.463733|0.640000|3.693095|1.350833|0.575000|Home
320418124|cincinnati_reds|0.164093|0.213519|0.488981|0.859259|4.586875|1.332827|0.473810|Away|st._louis_cardinals|0.199048|0.270429|0.579190|1.161905|5.479444|1.540833|0.366667|Home
320418126|philadelphia_phillies|0.219564|0.269590|0.622077|1.343590|4.006071|1.258452|1.619048|Away|san_francisco_giants|0.148700|0.287400|0.514400|0.765000|4.347685|1.332557|1.228709|Home
320418127|san_diego_padres|0.207146|0.253125|0.550729|0.677083|4.035444|1.331667|0.285556|Away|colorado_rockies|0.270563|0.310750|0.754563|0.700000|4.906944|1.427778|0.083333|Home
