MatchID|Team1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1_bin|score01|HAteam01|Team2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|score02|HAteam02
400277838|atlanta_hawks|13.794872|43.367942|1.000000|88|away|golden_state_warriors|10.076923|11.368839|5.000000|92|home
400277839|boston_celtics|16.848485|52.299615|2.000000|97|away|brooklyn_nets|5.615385|13.595088|3.000000|102|home
400277840|new_york_knicks|12.282051|26.762439|3.000000|104|away|san_antonio_spurs|70.076923|85.561909|31.500000|100|home
400277841|miami_heat|42.705128|48.429465|32.000000|98|away|denver_nuggets|19.602564|20.861165|8.500000|93|home
400277842|utah_jazz|17.230769|16.722412|5.000000|93|away|philadelphia_76ers|12.051282|19.274600|5.000000|99|home
400277843|orlando_magic|3.628205|8.176121|2.000000|110|away|detroit_pistons|30.948718|42.545269|4.000000|106|home
400277844|dallas_mavericks|8.333333|22.303079|2.000000|83|away|indiana_pacers|14.846154|21.204787|4.000000|103|home
400277846|golden_state_warriors|8.757576|9.453331|5.000000|106|away|minnesota_timberwolves|6.909091|13.408192|4.000000|98|home
400277847|new_york_knicks|12.282051|26.762439|3.000000|95|away|memphis_grizzlies|33.371795|40.079443|22.500000|105|home
400277848|atlanta_hawks|13.653846|43.405018|1.000000|112|away|sacramento_kings|17.782051|13.583217|22.000000|96|home
400277849|houston_rockets|6.878788|18.404146|3.000000|117|away|portland_trail_blazers|8.858974|19.362748|3.000000|119|home
400277850|phoenix_suns|10.282051|18.058237|4.000000|102|away|los_angeles_lakers|12.935897|37.384811|0.000000|114|home
400277851|toronto_raptors|16.681818|25.274349|5.000000|89|away|boston_celtics|14.846154|48.420455|2.000000|107|home
400277852|chicago_bulls|29.848485|45.938115|5.000000|80|away|los_angeles_clippers|17.290909|23.814184|5.000000|101|home
400277853|utah_jazz|20.571429|20.188567|12.000000|83|away|washington_wizards|6.166667|8.660871|3.000000|76|home
400277854|memphis_grizzlies|39.106061|41.044369|34.000000|94|away|charlotte_bobcats|3.743590|14.742609|1.000000|87|home
400277855|dallas_mavericks|8.333333|22.303079|2.000000|103|away|cleveland_cavaliers|7.500000|8.321658|2.000000|95|home
400277857|denver_nuggets|19.606061|20.745119|11.500000|100|away|san_antonio_spurs|70.076923|85.561909|31.500000|126|home
400277858|miami_heat|42.705128|48.429465|32.000000|97|away|phoenix_suns|10.282051|18.058237|4.000000|88|home
400277859|indiana_pacers|15.217949|21.433647|4.000000|76|away|new_york_knicks|12.282051|26.762439|3.000000|88|home
400277860|orlando_magic|3.628205|8.176121|2.000000|86|away|toronto_raptors|16.681818|25.274349|5.000000|97|home
400277861|cleveland_cavaliers|7.500000|8.321658|2.000000|79|away|philadelphia_76ers|12.051282|19.274600|5.000000|86|home
400277862|brooklyn_nets|4.717949|11.220285|3.000000|99|away|sacramento_kings|17.782051|13.583217|22.000000|90|home
400277863|golden_state_warriors|10.076923|11.368839|5.000000|109|away|oklahoma_city_thunder|26.807692|46.127209|4.000000|119|home
400277864|boston_celtics|14.846154|48.420455|2.000000|83|away|detroit_pistons|30.948718|42.545269|4.000000|103|home
400277865|chicago_bulls|29.848485|45.938115|5.000000|94|away|portland_trail_blazers|9.525641|19.494065|3.000000|102|home
400277866|houston_rockets|6.878788|18.404146|3.000000|108|away|los_angeles_lakers|12.935897|37.384811|0.000000|119|home
400277867|indiana_pacers|14.384615|21.477616|4.000000|96|away|washington_wizards|6.166667|8.660871|3.000000|89|home
400277868|milwaukee_bucks|12.423077|17.934010|3.000000|98|away|charlotte_bobcats|1.439394|2.132922|1.000000|102|home
400277869|orlando_magic|3.628205|8.176121|2.000000|72|away|atlanta_hawks|13.717949|43.389972|1.000000|81|home
400277870|denver_nuggets|20.525641|20.082346|17.500000|97|away|memphis_grizzlies|39.106061|41.044369|34.000000|92|home
400277871|golden_state_warriors|10.076923|11.368839|5.000000|105|away|dallas_mavericks|8.333333|22.303079|2.000000|101|home
