MatchID|Team1ID|Team1|score_t1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1|HAteam01|Team2ID|Team2|score_t2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|HAteam02
345689|363|chelsea|8|7.32026143791|14.9677883307|0.0|home|362|aston_villa|0|2.26797385621|4.64139732164|0.0|away
345690|371|west_ham_united|1|1.97385620915|5.94412734012|0.0|home|368|everton|2|10.0392156863|15.1000507955|3.0|away
345691|364|liverpool|4|7.92810457516|14.1324752677|2.0|home|370|fulham|0|3.34640522876|8.56067942255|0.0|away
345692|318|swansea_city|1|2.92156862745|4.50349089254|0.0|home|360|manchester_united|1|13.2810457516|18.5364708574|7.0|away
345693|383|west_bromwich_albion|2|5.67973856209|6.5685461576|3.0|home|381|norwich_city|1|2.3660130719|4.06443467194|0.0|away
345694|361|newcastle_united|1|6.1568627451|6.98468693612|4.0|home|334|queens_park_rangers|0|2.60784313725|4.881919817|0.0|away
345695|367|tottenham_hotspur|0|4.88235294118|9.26299911657|0.0|home|336|stoke_city|0|8.67320261438|11.3476438287|5.0|away
345696|364|liverpool|1|8.39869281046|14.1265706486|3.0|home|362|aston_villa|3|2.44444444444|4.74154064602|0.0|away
345697|336|stoke_city|1|7.90196078431|11.5903750388|3.0|home|368|everton|1|8.85620915033|12.5486859977|4.0|away
345698|334|queens_park_rangers|2|2.50326797386|4.90980635776|0.0|home|370|fulham|1|4.51633986928|10.3841914637|0.0|away
345699|361|newcastle_united|1|6.60784313725|6.73808344788|5.0|home|382|manchester_city|3|7.11764705882|8.62428640714|2.0|away
345700|360|manchester_united|3|14.3725490196|19.1907801777|9.0|home|366|sunderland|1|3.6862745098|4.9089362135|2.0|away
345701|367|tottenham_hotspur|1|3.6339869281|7.73731441982|0.0|home|318|swansea_city|0|2.2614379085|4.05158121611|0.0|away
345702|383|west_bromwich_albion|0|6.12418300654|7.4748556822|2.0|home|371|west_ham_united|0|1.875|6.04935278502|0.0|away
