PlayerID_Name|Season|Team|PTS|STL|AST
1018__jason_richardson|'09-'10|PHX|15.700000|0.800000|1.800000
1018__jason_richardson|'10-'11|ORL|13.900000|1.200000|2.000000
1018__jason_richardson|'10-'11|PHX|19.300000|1.100000|1.400000
1018__jason_richardson|'11-'12|ORL|11.600000|1.000000|2.000000
1018__jason_richardson|'12-'13|PHI|10.500000|1.200000|1.500000
1019__jeryl_sasser|'01-'02|ORL|1.400000|0.400000|0.300000
1019__jeryl_sasser|'02-'03|ORL|2.600000|0.600000|0.900000
1020__kenny_satterfield|'01-'02|DEN|5.300000|0.900000|3.000000
1020__kenny_satterfield|'02-'03|DEN|5.600000|0.800000|2.400000
1020__kenny_satterfield|'02-'03|PHI|0.500000|0.100000|0.900000
1021__brian_scalabrine|'01-'02|NJ|2.100000|0.300000|0.800000
1021__brian_scalabrine|'02-'03|NJ|3.100000|0.300000|0.800000
1021__brian_scalabrine|'03-'04|NJ|3.500000|0.300000|0.900000
1021__brian_scalabrine|'04-'05|NJ|6.300000|0.600000|1.600000
1021__brian_scalabrine|'05-'06|BOS|2.900000|0.300000|0.700000
1021__brian_scalabrine|'06-'07|BOS|4.000000|0.400000|1.100000
1021__brian_scalabrine|'07-'08|BOS|1.800000|0.200000|0.800000
1021__brian_scalabrine|'08-'09|BOS|3.500000|0.200000|0.500000
1021__brian_scalabrine|'09-'10|BOS|1.500000|0.200000|0.500000
1021__brian_scalabrine|'10-'11|CHI|1.100000|0.200000|0.300000
1021__brian_scalabrine|'11-'12|CHI|1.100000|0.200000|0.500000
1022__bobby_simmons|'01-'02|WSH|3.700000|0.400000|0.600000
1022__bobby_simmons|'02-'03|WSH|3.300000|0.300000|0.600000
1022__bobby_simmons|'03-'04|LAC|7.800000|0.900000|1.700000
1022__bobby_simmons|'04-'05|LAC|16.400000|1.400000|2.700000
1022__bobby_simmons|'05-'06|MIL|13.400000|1.100000|2.300000
1022__bobby_simmons|'07-'08|MIL|7.600000|0.700000|1.100000
1022__bobby_simmons|'08-'09|NJ|7.800000|0.700000|1.300000
1022__bobby_simmons|'09-'10|NJ|5.300000|0.700000|0.700000
1022__bobby_simmons|'10-'11|SA|0.000000|0.000000|1.000000
1022__bobby_simmons|'11-'12|LAC|2.900000|0.500000|0.400000
1023__will_solomon|'01-'02|MEM|5.200000|0.600000|1.500000
1023__will_solomon|'08-'09|SAC|5.000000|0.500000|0.700000
1023__will_solomon|'08-'09|TOR|4.900000|0.500000|3.200000
1024__jamaal_tinsley|'01-'02|IND|9.400000|1.700000|8.100000
1024__jamaal_tinsley|'02-'03|IND|7.800000|1.700000|7.500000
1024__jamaal_tinsley|'03-'04|IND|8.300000|1.600000|5.800000
1024__jamaal_tinsley|'04-'05|IND|15.400000|2.000000|6.400000
1024__jamaal_tinsley|'05-'06|IND|9.300000|1.200000|5.000000
1024__jamaal_tinsley|'06-'07|IND|12.800000|1.600000|6.900000
1024__jamaal_tinsley|'07-'08|IND|11.900000|1.700000|8.400000
1024__jamaal_tinsley|'09-'10|MEM|3.500000|0.900000|2.800000
1024__jamaal_tinsley|'11-'12|UTAH|3.700000|0.500000|3.300000
1024__jamaal_tinsley|'12-'13|UTAH|3.500000|1.000000|4.400000
1024__jamaal_tinsley|'13-'14|UTAH|1.100000|0.300000|2.900000
1025__jeff_trepagnier|'01-'02|CLE|1.500000|0.700000|1.000000
1025__jeff_trepagnier|'02-'03|DEN|5.600000|1.000000|0.800000
1025__jeff_trepagnier|'03-'04|DEN|2.300000|0.300000|0.400000
1026__gerald_wallace|'01-'02|SAC|3.200000|0.400000|0.500000
1026__gerald_wallace|'02-'03|SAC|4.700000|0.500000|0.500000
1026__gerald_wallace|'03-'04|SAC|2.000000|0.400000|0.500000
1026__gerald_wallace|'04-'05|CHA|11.100000|1.700000|2.000000
1026__gerald_wallace|'05-'06|CHA|15.200000|2.500000|1.700000
1026__gerald_wallace|'06-'07|CHA|18.100000|2.000000|2.600000
1026__gerald_wallace|'07-'08|CHA|19.400000|2.100000|3.500000
1026__gerald_wallace|'08-'09|CHA|16.600000|1.700000|2.700000
1026__gerald_wallace|'09-'10|CHA|18.200000|1.500000|2.100000
1026__gerald_wallace|'10-'11|POR|15.800000|2.000000|2.500000
1026__gerald_wallace|'10-'11|CHA|15.600000|1.200000|2.400000
1026__gerald_wallace|'11-'12|NJ|15.200000|1.400000|3.100000
1026__gerald_wallace|'11-'12|POR|13.300000|1.500000|2.700000
1026__gerald_wallace|'12-'13|BKN|7.700000|1.400000|2.600000
1026__gerald_wallace|'13-'14|BOS|5.100000|1.300000|2.500000
1027__earl_watson|'01-'02|SEA|3.600000|0.900000|2.000000
1027__earl_watson|'02-'03|MEM|5.500000|1.100000|2.800000
1027__earl_watson|'03-'04|MEM|5.700000|1.100000|5.000000
1027__earl_watson|'04-'05|MEM|7.700000|1.000000|4.500000
1027__earl_watson|'05-'06|DEN|7.500000|0.800000|3.500000
1027__earl_watson|'05-'06|SEA|11.500000|1.300000|5.400000
1027__earl_watson|'06-'07|SEA|9.400000|1.300000|5.700000
1027__earl_watson|'07-'08|SEA|10.700000|0.900000|6.800000
1027__earl_watson|'08-'09|OKC|6.600000|0.700000|5.800000
1027__earl_watson|'09-'10|IND|7.800000|1.300000|5.100000
1027__earl_watson|'10-'11|UTAH|4.300000|0.800000|3.500000
1027__earl_watson|'11-'12|UTAH|3.000000|1.100000|4.300000
1027__earl_watson|'12-'13|UTAH|2.000000|0.800000|4.000000
1027__earl_watson|'13-'14|POR|0.500000|0.200000|1.200000
1028__rodney_white|'01-'02|DET|3.500000|0.600000|0.800000
1028__rodney_white|'02-'03|DEN|9.000000|0.600000|1.700000
1028__rodney_white|'03-'04|DEN|7.500000|0.400000|0.800000
1028__rodney_white|'04-'05|DEN|5.600000|0.700000|0.900000
1028__rodney_white|'04-'05|GS|3.600000|0.100000|0.500000
1029__loren_woods|'01-'02|MIN|1.800000|0.300000|0.400000
1029__loren_woods|'02-'03|MIN|2.100000|0.300000|0.500000
1029__loren_woods|'03-'04|MIA|3.200000|0.300000|0.300000
1029__loren_woods|'04-'05|TOR|3.900000|0.200000|0.400000
1029__loren_woods|'05-'06|TOR|2.300000|0.300000|0.100000
1029__loren_woods|'07-'08|HOU|0.900000|0.000000|0.300000
1031__maurice_evans|'01-'02|MIN|2.100000|0.000000|0.400000
1031__maurice_evans|'04-'05|SAC|6.400000|0.600000|0.700000
1031__maurice_evans|'05-'06|DET|5.000000|0.500000|0.800000
1031__maurice_evans|'06-'07|LAL|8.400000|0.500000|1.000000
1031__maurice_evans|'07-'08|LAL|4.400000|0.700000|1.700000
1031__maurice_evans|'07-'08|ORL|9.300000|0.600000|1.000000
1031__maurice_evans|'08-'09|ATL|7.200000|0.600000|0.700000
1031__maurice_evans|'09-'10|ATL|5.700000|0.400000|0.600000
1031__maurice_evans|'10-'11|ATL|4.500000|0.300000|0.600000
1031__maurice_evans|'10-'11|WSH|9.700000|0.700000|0.600000
1031__maurice_evans|'11-'12|WSH|4.900000|0.600000|0.400000
1034__charlie_bell|'01-'02|DAL|0.000000|0.000000|0.000000
1034__charlie_bell|'01-'02|PHX|1.600000|0.000000|0.400000
1034__charlie_bell|'05-'06|MIL|8.400000|1.000000|2.200000
1034__charlie_bell|'06-'07|MIL|13.500000|1.200000|3.000000
1034__charlie_bell|'07-'08|MIL|7.600000|0.800000|3.100000
1034__charlie_bell|'08-'09|MIL|8.400000|0.700000|2.200000
