matchid|datetime|year
320204011|2012-02-04 00:00:00|2012
320204015|2012-02-04 00:00:00|2012
320204016|2012-02-04 00:00:00|2012
320204018|2012-02-04 00:00:00|2012
320204021|2012-02-04 00:00:00|2012
320204022|2012-02-04 00:00:00|2012
320204023|2012-02-04 00:00:00|2012
320204024|2012-02-04 00:00:00|2012
320204026|2012-02-04 00:00:00|2012
320204027|2012-02-04 00:00:00|2012
320205002|2012-02-05 00:00:00|2012
320205014|2012-02-05 00:00:00|2012
320206001|2012-02-06 00:00:00|2012
320206003|2012-02-06 00:00:00|2012
320206007|2012-02-06 00:00:00|2012
320206017|2012-02-06 00:00:00|2012
320206018|2012-02-06 00:00:00|2012
320206019|2012-02-06 00:00:00|2012
320206020|2012-02-06 00:00:00|2012
320206022|2012-02-06 00:00:00|2012
320206027|2012-02-06 00:00:00|2012
320206029|2012-02-06 00:00:00|2012
320207002|2012-02-07 00:00:00|2012
320207009|2012-02-07 00:00:00|2012
320207011|2012-02-07 00:00:00|2012
320207014|2012-02-07 00:00:00|2012
320207015|2012-02-07 00:00:00|2012
320207016|2012-02-07 00:00:00|2012
320208001|2012-02-08 00:00:00|2012
320208003|2012-02-08 00:00:00|2012
320208005|2012-02-08 00:00:00|2012
320208007|2012-02-08 00:00:00|2012
320208017|2012-02-08 00:00:00|2012
320208019|2012-02-08 00:00:00|2012
320208020|2012-02-08 00:00:00|2012
320208022|2012-02-08 00:00:00|2012
320208027|2012-02-08 00:00:00|2012
320208028|2012-02-08 00:00:00|2012
320208029|2012-02-08 00:00:00|2012
320209002|2012-02-09 00:00:00|2012
320209007|2012-02-09 00:00:00|2012
320209021|2012-02-09 00:00:00|2012
320209023|2012-02-09 00:00:00|2012
320210003|2012-02-10 00:00:00|2012
320210005|2012-02-10 00:00:00|2012
320210008|2012-02-10 00:00:00|2012
320210016|2012-02-10 00:00:00|2012
320210018|2012-02-10 00:00:00|2012
320210019|2012-02-10 00:00:00|2012
320210020|2012-02-10 00:00:00|2012
320210026|2012-02-10 00:00:00|2012
320210027|2012-02-10 00:00:00|2012
320210028|2012-02-10 00:00:00|2012
320210029|2012-02-10 00:00:00|2012
320210030|2012-02-10 00:00:00|2012
320211005|2012-02-11 00:00:00|2012
320211006|2012-02-11 00:00:00|2012
320211011|2012-02-11 00:00:00|2012
320211015|2012-02-11 00:00:00|2012
320211016|2012-02-11 00:00:00|2012
320211017|2012-02-11 00:00:00|2012
320211023|2012-02-11 00:00:00|2012
320211030|2012-02-11 00:00:00|2012
320212001|2012-02-12 00:00:00|2012
320212002|2012-02-12 00:00:00|2012
320212008|2012-02-12 00:00:00|2012
320212009|2012-02-12 00:00:00|2012
320212028|2012-02-12 00:00:00|2012
320212029|2012-02-12 00:00:00|2012
320213003|2012-02-13 00:00:00|2012
320213006|2012-02-13 00:00:00|2012
320213009|2012-02-13 00:00:00|2012
320213015|2012-02-13 00:00:00|2012
320213019|2012-02-13 00:00:00|2012
320213030|2012-02-13 00:00:00|2012
320214004|2012-02-14 00:00:00|2012
320214007|2012-02-14 00:00:00|2012
320214008|2012-02-14 00:00:00|2012
320214011|2012-02-14 00:00:00|2012
320214013|2012-02-14 00:00:00|2012
320214022|2012-02-14 00:00:00|2012
320214025|2012-02-14 00:00:00|2012
320214028|2012-02-14 00:00:00|2012
320214029|2012-02-14 00:00:00|2012
320215002|2012-02-15 00:00:00|2012
320215005|2012-02-15 00:00:00|2012
320215006|2012-02-15 00:00:00|2012
320215009|2012-02-15 00:00:00|2012
320215010|2012-02-15 00:00:00|2012
320215012|2012-02-15 00:00:00|2012
320215015|2012-02-15 00:00:00|2012
320215016|2012-02-15 00:00:00|2012
320215017|2012-02-15 00:00:00|2012
320215018|2012-02-15 00:00:00|2012
320215019|2012-02-15 00:00:00|2012
320215021|2012-02-15 00:00:00|2012
320215028|2012-02-15 00:00:00|2012
320216004|2012-02-16 00:00:00|2012
320216011|2012-02-16 00:00:00|2012
320216022|2012-02-16 00:00:00|2012
320217005|2012-02-17 00:00:00|2012
320217008|2012-02-17 00:00:00|2012
320217010|2012-02-17 00:00:00|2012
320217013|2012-02-17 00:00:00|2012
320217018|2012-02-17 00:00:00|2012
320217019|2012-02-17 00:00:00|2012
320217020|2012-02-17 00:00:00|2012
320217025|2012-02-17 00:00:00|2012
320217026|2012-02-17 00:00:00|2012
320217028|2012-02-17 00:00:00|2012
320217029|2012-02-17 00:00:00|2012
320218004|2012-02-18 00:00:00|2012
320218012|2012-02-18 00:00:00|2012
320218022|2012-02-18 00:00:00|2012
320218029|2012-02-18 00:00:00|2012
320219005|2012-02-19 00:00:00|2012
320219008|2012-02-19 00:00:00|2012
320219010|2012-02-19 00:00:00|2012
320219011|2012-02-19 00:00:00|2012
320219014|2012-02-19 00:00:00|2012
320219016|2012-02-19 00:00:00|2012
320219017|2012-02-19 00:00:00|2012
320219018|2012-02-19 00:00:00|2012
320219021|2012-02-19 00:00:00|2012
320219025|2012-02-19 00:00:00|2012
320220004|2012-02-20 00:00:00|2012
320220006|2012-02-20 00:00:00|2012
320220007|2012-02-20 00:00:00|2012
320220009|2012-02-20 00:00:00|2012
320220010|2012-02-20 00:00:00|2012
320220013|2012-02-20 00:00:00|2012
320220015|2012-02-20 00:00:00|2012
320220018|2012-02-20 00:00:00|2012
320220021|2012-02-20 00:00:00|2012
320220025|2012-02-20 00:00:00|2012
320220026|2012-02-20 00:00:00|2012
320221005|2012-02-21 00:00:00|2012
320221011|2012-02-21 00:00:00|2012
320221014|2012-02-21 00:00:00|2012
320221022|2012-02-21 00:00:00|2012
320221029|2012-02-21 00:00:00|2012
320222004|2012-02-22 00:00:00|2012
320222005|2012-02-22 00:00:00|2012
320222006|2012-02-22 00:00:00|2012
320222010|2012-02-22 00:00:00|2012
320222012|2012-02-22 00:00:00|2012
320222016|2012-02-22 00:00:00|2012
320222017|2012-02-22 00:00:00|2012
320222018|2012-02-22 00:00:00|2012
320222021|2012-02-22 00:00:00|2012
320222025|2012-02-22 00:00:00|2012
320222027|2012-02-22 00:00:00|2012
320222028|2012-02-22 00:00:00|2012
320222030|2012-02-22 00:00:00|2012
320223001|2012-02-23 00:00:00|2012
320223007|2012-02-23 00:00:00|2012
320223014|2012-02-23 00:00:00|2012
320223025|2012-02-23 00:00:00|2012
320226031|2012-02-26 00:00:00|2012
320228004|2012-02-28 00:00:00|2012
320228004|2012-02-28 00:00:00|2012
320228005|2012-02-28 00:00:00|2012
320228006|2012-02-28 00:00:00|2012
320228008|2012-02-28 00:00:00|2012
320228010|2012-02-28 00:00:00|2012
320228011|2012-02-28 00:00:00|2012
320228012|2012-02-28 00:00:00|2012
320228015|2012-02-28 00:00:00|2012
320228023|2012-02-28 00:00:00|2012
320229001|2012-02-29 00:00:00|2012
320229002|2012-02-29 00:00:00|2012
320229003|2012-02-29 00:00:00|2012
320229007|2012-02-29 00:00:00|2012
320229008|2012-02-29 00:00:00|2012
320229013|2012-02-29 00:00:00|2012
320229018|2012-02-29 00:00:00|2012
320229020|2012-02-29 00:00:00|2012
320229024|2012-02-29 00:00:00|2012
320229026|2012-02-29 00:00:00|2012
320229027|2012-02-29 00:00:00|2012
320229029|2012-02-29 00:00:00|2012
320301019|2012-03-01 00:00:00|2012
320301021|2012-03-01 00:00:00|2012
320301022|2012-03-01 00:00:00|2012
320301023|2012-03-01 00:00:00|2012
320302001|2012-03-02 00:00:00|2012
320302002|2012-03-02 00:00:00|2012
320302003|2012-03-02 00:00:00|2012
320302005|2012-03-02 00:00:00|2012
320302010|2012-03-02 00:00:00|2012
320302013|2012-03-02 00:00:00|2012
320302020|2012-03-02 00:00:00|2012
320302021|2012-03-02 00:00:00|2012
320302024|2012-03-02 00:00:00|2012
320302026|2012-03-02 00:00:00|2012
320302028|2012-03-02 00:00:00|2012
320303001|2012-03-03 00:00:00|2012
320303003|2012-03-03 00:00:00|2012
320303006|2012-03-03 00:00:00|2012
320303019|2012-03-03 00:00:00|2012
320303022|2012-03-03 00:00:00|2012
320303027|2012-03-03 00:00:00|2012
320303029|2012-03-03 00:00:00|2012
320304002|2012-03-04 00:00:00|2012
320304010|2012-03-04 00:00:00|2012
320304013|2012-03-04 00:00:00|2012
320304020|2012-03-04 00:00:00|2012
320304021|2012-03-04 00:00:00|2012
320304024|2012-03-04 00:00:00|2012
320304028|2012-03-04 00:00:00|2012
320304030|2012-03-04 00:00:00|2012
320305004|2012-03-05 00:00:00|2012
320305005|2012-03-05 00:00:00|2012
320305007|2012-03-05 00:00:00|2012
320305015|2012-03-05 00:00:00|2012
320305016|2012-03-05 00:00:00|2012
320305022|2012-03-05 00:00:00|2012
320305025|2012-03-05 00:00:00|2012
320305027|2012-03-05 00:00:00|2012
320305028|2012-03-05 00:00:00|2012
320306002|2012-03-06 00:00:00|2012
320306006|2012-03-06 00:00:00|2012
320306008|2012-03-06 00:00:00|2012
320306011|2012-03-06 00:00:00|2012
320306014|2012-03-06 00:00:00|2012
320306030|2012-03-06 00:00:00|2012
320307007|2012-03-07 00:00:00|2012
320307009|2012-03-07 00:00:00|2012
320307014|2012-03-07 00:00:00|2012
320307015|2012-03-07 00:00:00|2012
320307016|2012-03-07 00:00:00|2012
320307017|2012-03-07 00:00:00|2012
320307020|2012-03-07 00:00:00|2012
320307023|2012-03-07 00:00:00|2012
320307024|2012-03-07 00:00:00|2012
320307025|2012-03-07 00:00:00|2012
320307027|2012-03-07 00:00:00|2012
320307028|2012-03-07 00:00:00|2012
320307030|2012-03-07 00:00:00|2012
320308004|2012-03-08 00:00:00|2012
320308021|2012-03-08 00:00:00|2012
320309002|2012-03-09 00:00:00|2012
320309007|2012-03-09 00:00:00|2012
320309008|2012-03-09 00:00:00|2012
320309015|2012-03-09 00:00:00|2012
320309016|2012-03-09 00:00:00|2012
320309020|2012-03-09 00:00:00|2012
320309023|2012-03-09 00:00:00|2012
320309024|2012-03-09 00:00:00|2012
320309025|2012-03-09 00:00:00|2012
320309030|2012-03-09 00:00:00|2012
320310004|2012-03-10 00:00:00|2012
320310008|2012-03-10 00:00:00|2012
320310009|2012-03-10 00:00:00|2012
320310014|2012-03-10 00:00:00|2012
320310016|2012-03-10 00:00:00|2012
320310017|2012-03-10 00:00:00|2012
320310021|2012-03-10 00:00:00|2012
320310025|2012-03-10 00:00:00|2012
320310027|2012-03-10 00:00:00|2012
320311005|2012-03-11 00:00:00|2012
320311007|2012-03-11 00:00:00|2012
320311012|2012-03-11 00:00:00|2012
320311013|2012-03-11 00:00:00|2012
320311018|2012-03-11 00:00:00|2012
320311019|2012-03-11 00:00:00|2012
320311023|2012-03-11 00:00:00|2012
320311028|2012-03-11 00:00:00|2012
320312003|2012-03-12 00:00:00|2012
320312004|2012-03-12 00:00:00|2012
320312012|2012-03-12 00:00:00|2012
320312017|2012-03-12 00:00:00|2012
320312021|2012-03-12 00:00:00|2012
320312024|2012-03-12 00:00:00|2012
320312026|2012-03-12 00:00:00|2012
320313005|2012-03-13 00:00:00|2012
320313006|2012-03-13 00:00:00|2012
320313007|2012-03-13 00:00:00|2012
320313011|2012-03-13 00:00:00|2012
320313019|2012-03-13 00:00:00|2012
320313023|2012-03-13 00:00:00|2012
320313025|2012-03-13 00:00:00|2012
320313029|2012-03-13 00:00:00|2012
320314003|2012-03-14 00:00:00|2012
320314004|2012-03-14 00:00:00|2012
320314009|2012-03-14 00:00:00|2012
320314010|2012-03-14 00:00:00|2012
320314011|2012-03-14 00:00:00|2012
320314012|2012-03-14 00:00:00|2012
320314015|2012-03-14 00:00:00|2012
320314017|2012-03-14 00:00:00|2012
320314018|2012-03-14 00:00:00|2012
320314021|2012-03-14 00:00:00|2012
320314023|2012-03-14 00:00:00|2012
320314024|2012-03-14 00:00:00|2012
320315003|2012-03-15 00:00:00|2012
320315006|2012-03-15 00:00:00|2012
320315007|2012-03-15 00:00:00|2012
320315012|2012-03-15 00:00:00|2012
320315026|2012-03-15 00:00:00|2012
320316001|2012-03-16 00:00:00|2012
320316004|2012-03-16 00:00:00|2012
320316009|2012-03-16 00:00:00|2012
320316013|2012-03-16 00:00:00|2012
320316018|2012-03-16 00:00:00|2012
320316019|2012-03-16 00:00:00|2012
320316020|2012-03-16 00:00:00|2012
320316021|2012-03-16 00:00:00|2012
320316023|2012-03-16 00:00:00|2012
320316025|2012-03-16 00:00:00|2012
320316029|2012-03-16 00:00:00|2012
320317004|2012-03-17 00:00:00|2012
320317006|2012-03-17 00:00:00|2012
320317007|2012-03-17 00:00:00|2012
320317011|2012-03-17 00:00:00|2012
320317012|2012-03-17 00:00:00|2012
320317017|2012-03-17 00:00:00|2012
320317026|2012-03-17 00:00:00|2012
320317030|2012-03-17 00:00:00|2012
320318005|2012-03-18 00:00:00|2012
320318012|2012-03-18 00:00:00|2012
320318013|2012-03-18 00:00:00|2012
320318014|2012-03-18 00:00:00|2012
320318021|2012-03-18 00:00:00|2012
320318023|2012-03-18 00:00:00|2012
320318025|2012-03-18 00:00:00|2012
320318029|2012-03-18 00:00:00|2012
320319001|2012-03-19 00:00:00|2012
320319007|2012-03-19 00:00:00|2012
320319009|2012-03-19 00:00:00|2012
320319017|2012-03-19 00:00:00|2012
320319019|2012-03-19 00:00:00|2012
320319030|2012-03-19 00:00:00|2012
320320010|2012-03-20 00:00:00|2012
320320011|2012-03-20 00:00:00|2012
320320014|2012-03-20 00:00:00|2012
320320018|2012-03-20 00:00:00|2012
320320022|2012-03-20 00:00:00|2012
320320023|2012-03-20 00:00:00|2012
320320026|2012-03-20 00:00:00|2012
320321001|2012-03-21 00:00:00|2012
320321003|2012-03-21 00:00:00|2012
320321006|2012-03-21 00:00:00|2012
320321007|2012-03-21 00:00:00|2012
320321017|2012-03-21 00:00:00|2012
320321019|2012-03-21 00:00:00|2012
320321020|2012-03-21 00:00:00|2012
320321024|2012-03-21 00:00:00|2012
320321025|2012-03-21 00:00:00|2012
320321028|2012-03-21 00:00:00|2012
320322003|2012-03-22 00:00:00|2012
320322010|2012-03-22 00:00:00|2012
320322015|2012-03-22 00:00:00|2012
320322022|2012-03-22 00:00:00|2012
320322023|2012-03-22 00:00:00|2012
320322027|2012-03-22 00:00:00|2012
320323001|2012-03-23 00:00:00|2012
320323008|2012-03-23 00:00:00|2012
320323011|2012-03-23 00:00:00|2012
320323013|2012-03-23 00:00:00|2012
320323019|2012-03-23 00:00:00|2012
320323020|2012-03-23 00:00:00|2012
320323024|2012-03-23 00:00:00|2012
320323025|2012-03-23 00:00:00|2012
320323026|2012-03-23 00:00:00|2012
320323028|2012-03-23 00:00:00|2012
320323030|2012-03-23 00:00:00|2012
320324003|2012-03-24 00:00:00|2012
320324004|2012-03-24 00:00:00|2012
320324009|2012-03-24 00:00:00|2012
320324010|2012-03-24 00:00:00|2012
320324012|2012-03-24 00:00:00|2012
320324015|2012-03-24 00:00:00|2012
320324017|2012-03-24 00:00:00|2012
320324018|2012-03-24 00:00:00|2012
320324027|2012-03-24 00:00:00|2012
320325001|2012-03-25 00:00:00|2012
320325002|2012-03-25 00:00:00|2012
320325005|2012-03-25 00:00:00|2012
320325013|2012-03-25 00:00:00|2012
320325016|2012-03-25 00:00:00|2012
320325022|2012-03-25 00:00:00|2012
320325024|2012-03-25 00:00:00|2012
320325025|2012-03-25 00:00:00|2012
320326004|2012-03-26 00:00:00|2012
320326010|2012-03-26 00:00:00|2012
320326011|2012-03-26 00:00:00|2012
320326012|2012-03-26 00:00:00|2012
