PlayerID_Name|Year|ERA|WHIP|WAR
1837__kevin_brown|2003|2.390000|1.140000|4.300000
1837__kevin_brown|2004|4.090000|1.270000|2.600000
1837__kevin_brown|2005|6.500000|1.720000|-0.500000
1912__david_wells|1987|3.990000|1.670000|0.300000
1912__david_wells|1988|4.620000|1.490000|-0.800000
1912__david_wells|1989|2.400000|1.090000|1.900000
1912__david_wells|1990|3.140000|1.110000|4.200000
1912__david_wells|1991|3.720000|1.190000|2.900000
1912__david_wells|1992|5.400000|1.450000|-2.000000
1912__david_wells|1993|4.190000|1.200000|2.700000
1912__david_wells|1994|3.960000|1.230000|2.600000
1912__david_wells|1995|3.040000|1.200000|4.400000
1912__david_wells|1995|3.590000|1.240000|0.700000
1912__david_wells|1995|3.240000|1.220000|5.100000
1912__david_wells|1996|5.140000|1.330000|2.600000
1912__david_wells|1997|4.210000|1.300000|4.000000
1912__david_wells|1998|3.490000|1.050000|4.500000
1912__david_wells|1999|4.820000|1.330000|2.700000
1912__david_wells|2000|4.110000|1.290000|4.500000
1912__david_wells|2001|4.470000|1.400000|1.200000
1912__david_wells|2002|3.750000|1.240000|3.500000
1912__david_wells|2003|4.140000|1.230000|4.000000
1912__david_wells|2004|3.730000|1.140000|2.400000
1912__david_wells|2005|4.450000|1.310000|3.000000
1912__david_wells|2006|4.980000|1.530000|0.300000
1912__david_wells|2006|3.490000|1.310000|0.400000
1912__david_wells|2006|4.420000|1.450000|0.700000
1912__david_wells|2007|5.120000|1.400000|0.100000
1912__david_wells|2007|5.540000|1.590000|-0.700000
1912__david_wells|2007|5.430000|1.540000|-0.600000
1975__tom_glavine|1987|5.540000|1.750000|-0.200000
1975__tom_glavine|1988|4.560000|1.350000|0.300000
1975__tom_glavine|1989|3.680000|1.140000|0.800000
1975__tom_glavine|1990|4.280000|1.450000|1.900000
1975__tom_glavine|1991|2.550000|1.090000|8.200000
1975__tom_glavine|1992|2.760000|1.190000|3.600000
1975__tom_glavine|1993|3.200000|1.360000|3.000000
1975__tom_glavine|1994|3.970000|1.470000|1.900000
1975__tom_glavine|1995|3.080000|1.250000|4.600000
1975__tom_glavine|1996|2.980000|1.300000|5.600000
1975__tom_glavine|1997|2.960000|1.150000|5.300000
1975__tom_glavine|1998|2.470000|1.200000|5.900000
1975__tom_glavine|1999|4.120000|1.460000|2.600000
1975__tom_glavine|2000|3.400000|1.190000|4.600000
1975__tom_glavine|2001|3.570000|1.410000|3.400000
1975__tom_glavine|2002|2.960000|1.280000|3.800000
1975__tom_glavine|2003|4.520000|1.480000|2.200000
1975__tom_glavine|2004|3.600000|1.290000|3.800000
1975__tom_glavine|2005|3.530000|1.360000|3.900000
1975__tom_glavine|2006|3.820000|1.330000|2.600000
1975__tom_glavine|2007|4.450000|1.410000|1.800000
1975__tom_glavine|2008|5.540000|1.640000|-0.300000
1983__al_leiter|1987|6.350000|1.720000|-0.100000
1983__al_leiter|1988|3.920000|1.430000|0.800000
1983__al_leiter|1989|6.080000|1.650000|-0.500000
1983__al_leiter|1989|4.050000|1.650000|0.000000
