matchid|season|datetime|year
24402|2001-2002|2002-04-20 00:00:00|2002
24403|2001-2002|2002-04-20 00:00:00|2002
24404|2001-2002|2002-04-20 00:00:00|2002
24499|2001-2002|2002-04-27 00:00:00|2002
24500|2001-2002|2002-04-27 00:00:00|2002
24501|2001-2002|2002-04-27 00:00:00|2002
24502|2001-2002|2002-04-27 00:00:00|2002
24503|2001-2002|2002-04-27 00:00:00|2002
24504|2001-2002|2002-04-27 00:00:00|2002
24505|2001-2002|2002-04-27 00:00:00|2002
24506|2001-2002|2002-04-27 00:00:00|2002
24507|2001-2002|2002-04-27 00:00:00|2002
24508|2001-2002|2002-04-27 00:00:00|2002
24618|2001-2002|2002-05-11 00:00:00|2002
24619|2001-2002|2002-05-11 00:00:00|2002
24620|2001-2002|2002-05-11 00:00:00|2002
24621|2001-2002|2002-05-11 00:00:00|2002
24622|2001-2002|2002-05-11 00:00:00|2002
24623|2001-2002|2002-05-11 00:00:00|2002
24624|2001-2002|2002-05-11 00:00:00|2002
24625|2001-2002|2002-05-11 00:00:00|2002
24626|2001-2002|2002-05-11 00:00:00|2002
24627|2001-2002|2002-05-11 00:00:00|2002
26295|2001-2002|2001-12-05 00:00:00|2001
26296|2001-2002|2001-12-05 00:00:00|2001
26438|2001-2002|2001-12-12 00:00:00|2001
33028|2001-2002|2002-01-20 00:00:00|2002
33185|2001-2002|2002-01-21 00:00:00|2002
33348|2001-2002|2002-01-22 00:00:00|2002
33524|2001-2002|2002-01-23 00:00:00|2002
35371|2001-2002|2002-01-30 00:00:00|2002
36800|2001-2002|2002-02-03 00:00:00|2002
38057|2001-2002|2002-02-10 00:00:00|2002
38131|2001-2002|2002-02-24 00:00:00|2002
38132|2001-2002|2002-02-24 00:00:00|2002
38155|2001-2002|2002-03-03 00:00:00|2002
38156|2001-2002|2002-03-03 00:00:00|2002
38162|2001-2002|2002-03-06 00:00:00|2002
38163|2001-2002|2002-03-09 00:00:00|2002
38186|2001-2002|2002-03-13 00:00:00|2002
38187|2001-2002|2002-03-13 00:00:00|2002
38192|2001-2002|2002-03-17 00:00:00|2002
38193|2001-2002|2002-03-17 00:00:00|2002
38195|2001-2002|2002-03-18 00:00:00|2002
38216|2001-2002|2002-03-24 00:00:00|2002
38219|2001-2002|2002-03-24 00:00:00|2002
38231|2001-2002|2002-03-30 00:00:00|2002
40029|2001-2002|2002-02-19 00:00:00|2002
46681|2001-2002|2002-04-08 00:00:00|2002
48003|2001-2002|2002-04-21 00:00:00|2002
48073|2001-2002|2002-04-23 00:00:00|2002
48077|2001-2002|2002-04-23 00:00:00|2002
48102|2001-2002|2002-04-24 00:00:00|2002
48326|2001-2002|2002-04-28 00:00:00|2002
48344|2001-2002|2002-04-29 00:00:00|2002
48406|2001-2002|2002-05-05 00:00:00|2002
48435|2001-2002|2002-05-08 00:00:00|2002
48436|2001-2002|2002-05-08 00:00:00|2002
54416|2002-2003|2002-08-17 00:00:00|2002
54417|2002-2003|2002-08-17 00:00:00|2002
54418|2002-2003|2002-08-17 00:00:00|2002
54419|2002-2003|2002-08-17 00:00:00|2002
54420|2002-2003|2002-08-17 00:00:00|2002
54421|2002-2003|2002-08-17 00:00:00|2002
54422|2002-2003|2002-08-19 00:00:00|2002
54424|2002-2003|2002-08-18 00:00:00|2002
54425|2002-2003|2002-08-18 00:00:00|2002
54426|2002-2003|2002-08-23 00:00:00|2002
54427|2002-2003|2002-08-24 00:00:00|2002
54428|2002-2003|2002-08-24 00:00:00|2002
54429|2002-2003|2002-08-24 00:00:00|2002
54431|2002-2003|2002-08-24 00:00:00|2002
54432|2002-2003|2002-08-24 00:00:00|2002
54433|2002-2003|2002-08-24 00:00:00|2002
54435|2002-2003|2002-08-24 00:00:00|2002
54436|2002-2003|2002-08-27 00:00:00|2002
